,danceability
valence,0.45464546927343746
loudness,0.427346811330284
acousticness,-0.3643404258979099
instrumentalness,-0.30466729349366967
energy,0.2808561199389391
speechiness,0.2448656379066968
time_signature,0.16565326713406253
liveness,-0.13268563670068326
duration_ms,-0.13119656896255635
popularity,0.12792599447805542
mode,-0.06192104202821975
tempo,0.0560389831007158
key,0.01863482528367364
