target,model,split,mse,mae,r2,n_features
energy,lasso,test,0.017964035442320118,0.1035322291878462,0.7353352099806266,13
loudness,ridge,test,11.83863430391071,2.417419988001071,0.7213617408498036,13
acousticness,ridge,test,0.05219560702822742,0.18044575439869345,0.565006201558991,13
danceability,lasso,test,0.020518356173051457,0.11500349156785206,0.41797239543514786,13
valence,lasso,test,0.04741470736985035,0.1771511209983067,0.29246867788239894,13
tempo,lasso,test,827.8784524332684,23.294725381041527,0.06848599355574303,13
