target,model,split,mse,mae,r2,cv_mse,cv_mae,cv_r2
danceability,linear_regression,test,0.020519183787501755,0.11498937840512556,0.417948919165804,0.020565297346122523,0.11534676905888881,0.42115129622256087
danceability,mean_baseline,test,0.03525326476603815,0.15292403181730532,-8.320265076910971e-07,0.03552799515704358,0.1538576713720135,-2.5623122152484966e-06
danceability,linear_regression,validation,0.0204624984365744,0.11497346469156648,0.42014142133945076,0.020565297346122523,0.11534676905888881,0.42115129622256087
danceability,mean_baseline,validation,0.035288900251249006,0.15312457758330666,-3.5726628873078425e-06,0.03552799515704358,0.1538576713720135,-2.5623122152484966e-06
