feature,coefficient
loudness,0.06795421794019914
valence,0.06757612497793734
energy,-0.05782657201998848
acousticness,-0.053071761513471656
speechiness,0.03392467849886931
liveness,-0.02588846905447215
time_signature,0.015402803546425382
tempo,-0.010941498049418432
duration_ms,-0.009673804887173558
mode,-0.007667556586305545
popularity,0.005952169542374477
key,-0.0014931821439599713
instrumentalness,-0.0013353718832515753
