target,model,split,mse,mae,r2,n_features,cv_mse,cv_mae,cv_r2
loudness,xgboost,test,6.007386092454351,1.7531045513759242,0.8586080488784388,13.0,,,
energy,xgboost,test,0.0101759404974545,0.0764211437119836,0.8500774971383267,13.0,,,
acousticness,xgboost,test,0.0402007322226763,0.1490821063600775,0.6649704792168651,13.0,,,
danceability,xgboost,test,0.0118739159093361,0.0849610879704013,0.6631822366651309,13.0,0.0205652973461225,0.1153467690588887,0.4211512962225606
valence,xgboost,test,0.0368101620180098,0.1526938859026012,0.4507117296578222,13.0,,,
tempo,random_forest,test,771.7359489561168,22.02222727006148,0.13165653289289,13.0,,,
