target,lasso,linear_regression,mean_baseline,random_forest,ridge,xgboost
acousticness,0.5649966714329779,0.5650056701718572,-4.717791147967887e-06,0.6581427844306856,0.565006201558991,0.6649704792168651
danceability,0.4179723954351477,0.417948919165804,-8.320265076910971e-07,0.6428388485950749,0.4179513180915021,0.6631822366651309
energy,0.7353352099806266,0.7353304706292023,-6.482152470566049e-06,0.8427306954969753,0.7353305748528947,0.8500774971383267
loudness,0.7213606663616338,0.7213608498725348,-3.3493011741825285e-07,0.8551711088805537,0.7213617408498036,0.8586080488784388
tempo,0.068485993555743,0.0684627493943302,-1.096647381326754e-05,0.13165653289289,0.0684605599084723,0.1294177331872451
valence,0.2924686778823989,0.2924440289437354,-8.285051283007938e-05,0.4379103029224248,0.2924444398742474,0.4507117296578222
